id,loan_amnt_EUR,loan_amnt_EUR,funded_amnt_EUR,funded_amnt_EUR,int_rate,installment_EUR,installment_EUR,total_pymnt_EUR,total_pymnt_EUR,exchange_rate,issue_date,loan_status,term_months,sub_grade,verification_status,state_address
373332.0,9950.0,8682.37055394229,1000.0,872.6000556725919,0.1825,360.97,314.9824420961355,1072.82,936.14279172667,1.1460003852844238,10.0,1.0,36.0,21.0,0.0,1.0
575239.0,12000.0,10471.200668071102,12000.0,10471.200668071102,0.20989999999999998,324.58,283.22852607020985,959.75,837.4779034317701,1.1460003852844238,10.0,1.0,60.0,25.0,1.0,2.0
707689.0,10000.0,8265.399817618667,10000.0,8265.399817618667,0.1366,340.13,281.1310439966637,3726.25,3079.8946070401557,1.2098628282546997,2.0,1.0,36.0,13.0,1.0,0.0
709828.0,27200.0,23734.7215142945,27200.0,23734.7215142945,686165.2,553.87,483.3069928353785,68616520.0,59874779.17205951,1.1460003852844238,10.0,1.0,60.0,6.0,0.0,4.0
849994.0,11400.0,9926.68620306694,11400.0,9926.68620306694,686165.2,376.09,327.4848608869689,3753.6,3268.4920466519357,1.1484194993972778,3.0,0.0,36.0,10.0,0.0,1.0
1312426.0,15000.0,13344.720738316182,15000.0,13344.720738316182,0.1561,361.67,321.75900996178757,2880.35,2562.4977585739343,1.1240400075912476,4.0,1.0,60.0,16.0,1.0,4.0
4526500.0,10800.0,9608.19893158765,10800.0,9608.19893158765,686165.2,328.22,292.0002827153425,2950.42,2624.8353973828553,1.1240400075912476,4.0,1.0,36.0,1.0,1.0,2.0
6736790.0,18000.0,nan,18000.0,nan,686165.2,370.78,nan,4432.02,nan,nan,1.0,1.0,60.0,6.0,1.0,1.0
8138291.0,10350.0,8554.68881123532,1000.0,826.5399817618668,0.2299,291.72,241.1182434795718,1432.16,1183.7375002800752,1.2098628282546997,2.0,0.0,60.0,26.0,1.0,4.0
8214572.0,7000.0,5785.779872333067,7000.0,5785.779872333067,686165.2,233.81,193.25331313574208,7300.41,6034.0807482541495,1.2098628282546997,2.0,1.0,36.0,11.0,1.0,2.0
12606806.0,24975.0,21806.422203123744,24975.0,21806.422203123744,686165.2,549.65,479.91591447235095,3831.55,3345.4413210161674,1.145304799079895,6.0,1.0,60.0,10.0,1.0,2.0
13026045.0,12000.0,9918.479781142401,12000.0,9918.479781142401,686165.2,275.07,227.35635278323667,2799.58,2313.9648021408866,1.2098628282546997,2.0,1.0,60.0,13.0,1.0,2.0
14187903.0,12000.0,9918.479781142401,12000.0,9918.479781142401,0.1399,279.16,230.73690130864273,2846.33,2352.605546288254,1.2098628282546997,2.0,1.0,60.0,15.0,1.0,4.0
14428496.0,21000.0,nan,21000.0,nan,686165.2,471.29,nan,5155.28,nan,nan,1.0,1.0,60.0,11.0,1.0,4.0
14470171.0,21000.0,18682.609033642653,21000.0,18682.609033642653,686165.2,687.42,611.561861995554,68616520.0,61044553.162339136,1.1240400075912476,4.0,1.0,36.0,9.0,1.0,1.0
14550531.0,32000.0,27923.20178152294,32000.0,27923.20178152294,686165.2,1005.43,877.338273974894,3089.0,2695.461571972636,1.1460003852844238,10.0,1.0,36.0,6.0,1.0,0.0
14669896.0,21500.0,nan,21500.0,nan,686165.2,482.51,nan,23855.94,nan,nan,1.0,1.0,60.0,11.0,1.0,1.0
15389420.0,15000.0,13061.429214561764,15000.0,13061.429214561764,0.1399,348.95,303.8523816280885,68616520.0,59748654.5953041,1.1484194993972778,3.0,0.0,60.0,14.0,1.0,2.0
16130931.0,20000.0,17781.58010150537,20000.0,17781.58010150537,0.1333,677.07,601.968721966312,21119.05,18776.503962134848,1.1247594356536865,5.0,1.0,36.0,15.0,1.0,4.0
19137119.0,27000.0,23574.510489863507,27000.0,23574.510489863507,686165.2,586.92,512.457470248544,4075.47,3558.4151950416303,1.145304799079895,6.0,1.0,60.0,9.0,1.0,1.0
19646726.0,28000.0,23143.119489332268,28000.0,23143.119489332268,686165.2,863.54,713.7503358506424,9472.03,7829.011503447855,1.2098628282546997,2.0,1.0,36.0,4.0,0.0,3.0
22403153.0,11200.0,9257.247795732907,11200.0,9257.247795732907,686165.2,373.56,308.7622755869629,1113.03,919.9637959004106,1.2098628282546997,2.0,0.0,36.0,11.0,0.0,3.0
25276117.0,28000.0,nan,1000.0,nan,686165.2,587.92,nan,7040.28,nan,nan,1.0,1.0,60.0,7.0,1.0,4.0
31207716.0,35000.0,28928.899361665335,35000.0,28928.899361665335,686165.2,790.82,653.6443483769195,8674.34,7169.688825396232,1.2098628282546997,2.0,1.0,60.0,12.0,1.0,1.0
31888135.0,4950.0,4306.519723950361,4950.0,4306.519723950361,0.1999,183.94,160.02853293402615,178.44,155.24351101852577,1.1494200229644775,11.0,1.0,36.0,24.0,1.0,2.0
34462110.0,14400.0,11902.17573737088,14400.0,11902.17573737088,686165.2,480.98,397.54920042782265,5280.87,4364.850193486789,1.2098628282546997,2.0,1.0,36.0,11.0,1.0,3.0
34883768.0,10300.0,nan,10300.0,nan,686165.2,320.35,nan,3839.91,nan,nan,1.0,1.0,36.0,4.0,0.0,4.0
35683282.0,22400.0,nan,22400.0,nan,686165.2,686.44,nan,8221.13,nan,nan,1.0,1.0,36.0,2.0,1.0,0.0
36169417.0,24000.0,nan,24000.0,nan,0.1559,578.42,nan,6899.47,nan,nan,1.0,1.0,60.0,16.0,1.0,0.0
36201871.0,21000.0,nan,21000.0,nan,686165.2,639.15,nan,7655.73,nan,nan,1.0,1.0,36.0,1.0,1.0,4.0
36241014.0,20000.0,nan,20000.0,nan,686165.2,411.98,nan,4934.13,nan,nan,1.0,1.0,60.0,6.0,1.0,2.0
